Chiplet,Core,Lane,Vector_Size,cin,cout,out_size,kernel_size,stride,OL1,AL1,WL1,real_WL1,AL2,reorder_case,rotation_enable,runtime,area-chiplet,area-package,total_memory_footprint,total_energy,chiplet_communication,dram_communication,DRAM_energy_A,DRAM_energy_W,DRAM_Energy,Die-to-Die_Energy,A-L2_Energy,A-L1_Energy,W-L1_Energy,Output_Energy,MAC_Energy,MOL1,MAL1,MWL1,sMWL1,MAL2,X1,Y1,K1,X2,Y2,K2,Kp,Yp,Kc,Yc,Xc,C1,C0,Csa,X0,Y0,note
4,8,16,8,8,64,224,3,1,1536,65536,74752,9344,368640,2,False,73728.0,2094001.8059999999,8376007.223999999,1148.0,459361240.3690438,0,159809536,87956625.77748542,181728.7840825344,98476384.0,0.0,4500.8101638144,4522.58430976,847.4391576576,353627228.22341263,7247757.312,1207959552,26214400,36864,576b,17842176,4,2,1,4,4,1,4,1,1,4,2,1,8,1,8,8,conv1
4,8,16,8,8,64,224,3,1,24,65536,37376,9344,368640,1,False,112896.0,2077742.4155625,8310969.66225,1148.0,659970006.5798029,0,173998080,98941107.96824577,363457.5681650688,107219520.0,0.0,37590.396469248,39889.1936120832,82973.76552714242,541491904.8401945,11098128.384,1849688064,231211008,73728,576b,20070400,4,4,1,28,28,1,4,1,2,2,2,1,8,1,1,1,conv1
4,8,16,8,8,64,224,3,1,24,65536,37376,9344,368640,2,False,112896.0,2077742.4155625,8310969.66225,1148.0,659970006.5798029,0,173998080,98941107.96824577,363457.5681650688,107219520.0,0.0,37590.396469248,39889.1936120832,82973.76552714242,541491904.8401945,11098128.384,1849688064,231211008,73728,576b,20070400,4,4,1,28,28,1,4,1,2,2,2,1,8,1,1,1,conv1
4,8,16,8,8,64,224,3,1,96,65536,37376,9344,368640,1,False,112896.0,2078516.6722499998,8314066.688999999,1148.0,641066093.7945726,0,143491072,80142297.45427907,363457.5681650688,88420768.0,0.0,16819.422378393603,17728.5304942592,20744.6175055872,541491904.8401945,11098128.384,1849688064,102760448,73728,576b,16257024,4,4,1,14,14,1,4,1,2,2,2,1,8,1,2,2,conv1
4,8,16,8,8,64,224,3,1,96,65536,37376,9344,368640,2,False,112896.0,2078516.6722499998,8314066.688999999,1148.0,641066093.7945726,0,143491072,80142297.45427907,363457.5681650688,88420768.0,0.0,16819.422378393603,17728.5304942592,20744.6175055872,541491904.8401945,11098128.384,1849688064,102760448,73728,576b,16257024,4,4,1,14,14,1,4,1,2,2,2,1,8,1,2,2,conv1
4,8,16,8,8,64,224,3,1,384,65536,37376,9344,368640,1,False,112896.0,2081613.699,8326454.796,1148.0,632378183.9672111,0,129441792,71484950.50705756,363457.5681650688,79763448.0,0.0,9543.1141134336,9972.2984030208,5187.330500198401,541491904.8401945,11098128.384,1849688064,57802752,73728,576b,14500864,4,4,1,7,7,1,4,1,2,2,2,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,384,65536,37376,9344,368640,2,False,112896.0,2081613.699,8326454.796,1148.0,632378183.9672111,0,129441792,71484950.50705756,363457.5681650688,79763448.0,0.0,9543.1141134336,9972.2984030208,5187.330500198401,541491904.8401945,11098128.384,1849688064,57802752,73728,576b,14500864,4,4,1,7,7,1,4,1,2,2,2,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,1536,65536,37376,9344,368640,1,False,147456.0,2094001.8059999999,8376007.223999999,1148.0,820428001.2415762,0,160104448,87956625.77748542,363457.5681650688,98658112.0,0.0,8727.8428422144,9045.16861952,1694.8783153152,707254906.7277992,14495514.624,2415919104,52428800,73728,576b,17842176,4,4,1,4,4,1,4,1,2,2,2,1,8,1,8,8,conv1
4,8,16,8,8,64,224,3,1,1536,65536,37376,9344,368640,2,False,147456.0,2094001.8059999999,8376007.223999999,1148.0,820428001.2415762,0,160104448,87956625.77748542,363457.5681650688,98658112.0,0.0,8727.8428422144,9045.16861952,1694.8783153152,707254906.7277992,14495514.624,2415919104,52428800,73728,576b,17842176,4,4,1,4,4,1,4,1,2,2,2,1,8,1,8,8,conv1
4,8,16,8,8,64,224,3,1,24,65536,18688,9344,368640,1,False,225792.0,2077742.4155625,8310969.66225,1148.0,1232872340.6546566,0,206700544,118729329.56189492,726915.1363301376,127371136.0,0.0,74934.418341888,79778.3872241664,165947.53105428483,1082984287.5500364,22196256.768,3699376128,462422016,147456,576b,24084480,4,4,1,28,56,1,4,1,4,1,2,1,8,1,1,1,conv1
4,8,16,8,8,64,224,3,1,24,65536,18688,9344,368640,2,False,225792.0,2077742.4155625,8310969.66225,1148.0,1232872340.6546566,0,206700544,118729329.56189492,726915.1363301376,127371136.0,0.0,74934.418341888,79778.3872241664,165947.53105428483,1082984287.5500364,22196256.768,3699376128,462422016,147456,576b,24084480,4,4,1,28,56,1,4,1,4,1,2,1,8,1,1,1,conv1
4,8,16,8,8,64,224,3,1,96,65536,18688,9344,368640,1,False,225792.0,2078516.6722499998,8314066.688999999,1148.0,1202979803.7216558,0,158531584,89046997.17142119,726915.1363301376,97688896.0,0.0,33417.107619840004,35457.0609885184,41489.2350111744,1082984287.5500364,22196256.768,3699376128,205520896,147456,576b,18063360,4,4,1,14,28,1,4,1,4,1,2,1,8,1,2,2,conv1
4,8,16,8,8,64,224,3,1,96,65536,18688,9344,368640,2,False,225792.0,2078516.6722499998,8314066.688999999,1148.0,1202979803.7216558,0,158531584,89046997.17142119,726915.1363301376,97688896.0,0.0,33417.107619840004,35457.0609885184,41489.2350111744,1082984287.5500364,22196256.768,3699376128,205520896,147456,576b,18063360,4,4,1,14,28,1,4,1,4,1,2,1,8,1,2,2,conv1
4,8,16,8,8,64,224,3,1,384,65536,18688,9344,368640,1,False,225792.0,2081613.699,8326454.796,1148.0,1189561628.3856626,0,136855552,75689947.59570801,726915.1363301376,84331888.0,0.0,18876.8098197504,19944.5968060416,10374.661000396802,1082984287.5500364,22196256.768,3699376128,115605504,147456,576b,15353856,4,4,1,7,14,1,4,1,4,1,2,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,384,65536,18688,9344,368640,2,False,225792.0,2081613.699,8326454.796,1148.0,1189561628.3856626,0,136855552,75689947.59570801,726915.1363301376,84331888.0,0.0,18876.8098197504,19944.5968060416,10374.661000396802,1082984287.5500364,22196256.768,3699376128,115605504,147456,576b,15353856,4,4,1,7,14,1,4,1,4,1,2,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,1536,65536,18688,9344,368640,1,False,258048.0,2094001.8059999999,8376007.223999999,1148.0,1352164309.2655225,0,144539648,79294230.81455125,726915.1363301376,89066912.0,0.0,15041.428925644801,15829.04508416,2966.4290930688003,1237696409.7704196,25367150.592,4227858432,91750400,147456,576b,16084992,4,4,1,4,7,1,4,1,4,1,2,1,8,1,8,8,conv1
4,8,16,8,8,64,224,3,1,1536,65536,18688,9344,368640,2,False,258048.0,2094001.8059999999,8376007.223999999,1148.0,1352164309.2655225,0,144539648,79294230.81455125,726915.1363301376,89066912.0,0.0,15041.428925644801,15829.04508416,2966.4290930688003,1237696409.7704196,25367150.592,4227858432,91750400,147456,576b,16084992,4,4,1,4,7,1,4,1,4,1,2,1,8,1,8,8,conv1
4,8,16,8,8,64,224,3,1,24,65536,9344,9344,368640,1,False,451584.0,2077742.4155625,8310969.66225,1148.0,2362846431.529444,0,246415360,142475195.47427392,1453830.2726602752,151843840.0,0.0,149573.1871678464,159556.7744483328,331895.06210856966,2165969052.96972,44392513.536,7398752256,924844032,294912,576b,28901376,4,4,1,56,56,1,4,1,8,1,1,1,8,1,1,1,conv1
4,8,16,8,8,64,224,3,1,24,65536,9344,9344,368640,2,False,451584.0,2077742.4155625,8310969.66225,1148.0,2362846431.529444,0,246415360,142475195.47427392,1453830.2726602752,151843840.0,0.0,149573.1871678464,159556.7744483328,331895.06210856966,2165969052.96972,44392513.536,7398752256,924844032,294912,576b,28901376,4,4,1,56,56,1,4,1,8,1,1,1,8,1,1,1,conv1
4,8,16,8,8,64,224,3,1,96,65536,9344,9344,368640,1,False,451584.0,2078516.6722499998,8314066.688999999,1148.0,2318891934.938362,0,175767552,98941107.96824577,1453830.2726602752,108309888.0,0.0,66587.840643072,70914.1219770368,82978.4700223488,2165969052.96972,44392513.536,7398752256,411041792,294912,576b,20070400,4,4,1,28,28,1,4,1,8,1,1,1,8,1,2,2,conv1
4,8,16,8,8,64,224,3,1,96,65536,9344,9344,368640,2,False,451584.0,2078516.6722499998,8314066.688999999,1148.0,2318891934.938362,0,175767552,98941107.96824577,1453830.2726602752,108309888.0,0.0,66587.840643072,70914.1219770368,82978.4700223488,2165969052.96972,44392513.536,7398752256,411041792,294912,576b,20070400,4,4,1,28,28,1,4,1,8,1,1,1,8,1,2,2,conv1
4,8,16,8,8,64,224,3,1,384,65536,9344,9344,368640,1,False,451584.0,2081613.699,8326454.796,1148.0,2299970872.9038353,0,145260544,80142297.45427907,1453830.2726602752,89511136.0,0.0,37531.8825025536,39889.1936120832,20749.322000793603,2165969052.96972,44392513.536,7398752256,231211008,294912,576b,16257024,4,4,1,14,14,1,4,1,8,1,1,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,384,65536,9344,9344,368640,2,False,451584.0,2081613.699,8326454.796,1148.0,2299970872.9038353,0,145260544,80142297.45427907,1453830.2726602752,89511136.0,0.0,37531.8825025536,39889.1936120832,20749.322000793603,2165969052.96972,44392513.536,7398752256,231211008,294912,576b,16257024,4,4,1,14,14,1,4,1,8,1,1,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,1536,65536,9344,9344,368640,1,False,451584.0,2094001.8059999999,8376007.223999999,1148.0,2291274388.451825,0,131211264,71484950.50705756,1453830.2726602752,80853816.0,0.0,26113.0822127616,27700.82889728,5192.034995404801,2165969052.96972,44392513.536,7398752256,160563200,294912,576b,14500864,4,4,1,7,7,1,4,1,8,1,1,1,8,1,8,8,conv1
4,8,16,8,8,64,224,3,1,1536,65536,9344,9344,368640,2,False,451584.0,2094001.8059999999,8376007.223999999,1148.0,2291274388.451825,0,131211264,71484950.50705756,1453830.2726602752,80853816.0,0.0,26113.0822127616,27700.82889728,5192.034995404801,2165969052.96972,44392513.536,7398752256,160563200,294912,576b,14500864,4,4,1,7,7,1,4,1,8,1,1,1,8,1,8,8,conv1
